source,target,mode,accuracy,balanced_accuracy,macro_f1,pr_auc,roc_auc,brier_calibration,macro_f1_drop_vs_source_in_domain
UNSW-NB15,UNSW-NB15,in_domain,0.852,0.8551409777617311,0.8510466988727858,0.9161514688454997,0.9407595536550416,0.09654995054006577,
UNSW-NB15,CIC-IDS-2017,zero_shot,0.538,0.5934253941097397,0.4881771128757799,0.21516320050185309,0.5626665835995076,0.2987222373485565,0.3628695859970059
UNSW-NB15,CIC-IDS-2017,few_shot_n300,0.8673333333333333,0.7591875073382646,0.7604326177612127,0.6144635262279632,0.8582786407976364,0.10203434526920319,
UNSW-NB15,CICIoT23,zero_shot,0.4003333333333333,0.46809525523795814,0.3034186693863928,0.9675036683850448,0.41066896464828284,0.4776352643966675,0.5476280294863931
UNSW-NB15,CICIoT23,few_shot_n300,0.9646666666666667,0.8280833753329974,0.7384653343202566,0.9956213863712536,0.9161454208366333,0.02654404751956463,
CIC-IDS-2017,CIC-IDS-2017,in_domain,0.981,0.9606680995751594,0.9654955256171509,0.9669815044933123,0.9919991948875359,0.015515116043388844,
CIC-IDS-2017,UNSW-NB15,zero_shot,0.5616666666666666,0.5002504766955128,0.3617495278645272,0.3289297605187391,0.24955196263158488,0.43347302079200745,0.6037459977526237
CIC-IDS-2017,UNSW-NB15,few_shot_n300,0.756,0.7462197199625413,0.7486207337069375,0.7543234234037856,0.8416267445927499,0.17044836282730103,
CIC-IDS-2017,CICIoT23,zero_shot,0.025666666666666667,0.500170998632011,0.025057327496351887,0.9771338505182202,0.44905815753473977,0.9569625854492188,0.940438198120799
CIC-IDS-2017,CICIoT23,few_shot_n300,0.9606666666666667,0.9029267765857873,0.7499088650949075,0.9994926714291148,0.980875152998776,0.031895872205495834,
CICIoT23,CICIoT23,in_domain,0.985,0.844922240622075,0.847146566062688,0.9998048607767726,0.9924873101015191,0.010790552943944931,
CICIoT23,UNSW-NB15,zero_shot,0.43966666666666665,0.501186943620178,0.3074019001332046,0.41562707354738876,0.37271744649163385,0.547008752822876,0.5397446659294833
CICIoT23,UNSW-NB15,few_shot_n300,0.7436666666666667,0.7541097358711963,0.7436488645044794,0.6859263053307572,0.8147756428337716,0.17240294814109802,
CICIoT23,CIC-IDS-2017,zero_shot,0.16866666666666666,0.501000400160064,0.1453034412674275,0.14115265698506613,0.3291636015683719,0.8248589038848877,0.7018431247952606
CICIoT23,CIC-IDS-2017,few_shot_n300,0.888,0.7684007734830459,0.7854645416305206,0.6518878237005866,0.8740014968063075,0.08722104877233505,
