dataset,protocol,seed,condition,mitigation,kl_div_from_ideal,action_changed,ideal_action,noisy_action,downstream_test_f1_macro,downstream_test_fpr
UNSW-NB15,A,42,ideal,none,0.0,False,6,6,0.8939387934513172,0.09389952153110048
UNSW-NB15,A,42,finite_shot,none,1.6147811064080365e-05,False,6,6,0.8939387934513172,0.09389952153110048
UNSW-NB15,A,42,depolarizing,none,0.00577337314244721,True,6,4,0.9097931424994687,0.07894736842105263
UNSW-NB15,A,42,readout,none,6.830253021443942e-05,False,6,6,0.8939387934513172,0.09389952153110048
UNSW-NB15,A,42,readout,readout,-8.332902654553374e-17,False,6,6,0.8939387934513172,0.09389952153110048
UNSW-NB15,A,42,combined,none,0.006573005395601347,True,6,4,0.9097931424994687,0.07894736842105263
UNSW-NB15,A,42,combined,readout,0.00577337314244721,True,6,4,0.9097931424994687,0.07894736842105263
UNSW-NB15,A,42,combined,zne,0.0024774052115145834,False,6,6,0.8939387934513172,0.09389952153110048
UNSW-NB15,A,43,ideal,none,0.0,False,2,2,0.9006161796859471,0.08492822966507177
UNSW-NB15,A,43,finite_shot,none,0.00017224179537209109,False,2,2,0.9006161796859471,0.08492822966507177
UNSW-NB15,A,43,depolarizing,none,0.003101900570904803,True,2,12,0.8999400992756474,0.08552631578947369
UNSW-NB15,A,43,readout,none,0.00014852931579266676,False,2,2,0.9006161796859471,0.08492822966507177
UNSW-NB15,A,43,readout,readout,0.0,False,2,2,0.9006161796859471,0.08492822966507177
UNSW-NB15,A,43,combined,none,0.004282298413138509,True,2,12,0.8999400992756474,0.08552631578947369
UNSW-NB15,A,43,combined,readout,0.003101900570904803,True,2,12,0.8999400992756474,0.08552631578947369
UNSW-NB15,A,43,combined,zne,0.0006617054267732259,True,2,12,0.8999400992756474,0.08552631578947369
CIC-IDS-2017,A,42,ideal,none,0.0,False,6,6,0.9955784004863759,0.0016359918200408998
CIC-IDS-2017,A,42,finite_shot,none,5.3530982073468646e-05,False,6,6,0.9955784004863759,0.0016359918200408998
CIC-IDS-2017,A,42,depolarizing,none,0.0032299017398936857,True,6,12,0.9787597323279109,0.004498977505112475
CIC-IDS-2017,A,42,readout,none,4.2281970471523154e-05,False,6,6,0.9955784004863759,0.0016359918200408998
CIC-IDS-2017,A,42,readout,readout,0.0,False,6,6,0.9955784004863759,0.0016359918200408998
CIC-IDS-2017,A,42,combined,none,0.0037245170073047264,True,6,12,0.9787597323279109,0.004498977505112475
CIC-IDS-2017,A,42,combined,readout,0.0032299017398936857,True,6,12,0.9787597323279109,0.004498977505112475
CIC-IDS-2017,A,42,combined,zne,0.0014166017321535196,False,6,6,0.9955784004863759,0.0016359918200408998
CIC-IDS-2017,A,43,ideal,none,0.0,False,12,12,0.9910183943284154,0.0
CIC-IDS-2017,A,43,finite_shot,none,6.124042155138235e-05,False,12,12,0.9910183943284154,0.0
CIC-IDS-2017,A,43,depolarizing,none,0.0035452965576985274,False,12,12,0.9910183943284154,0.0
CIC-IDS-2017,A,43,readout,none,8.207970537328071e-05,False,12,12,0.9910183943284154,0.0
CIC-IDS-2017,A,43,readout,readout,0.0,False,12,12,0.9910183943284154,0.0
CIC-IDS-2017,A,43,combined,none,0.00411821068989956,False,12,12,0.9910183943284154,0.0
CIC-IDS-2017,A,43,combined,readout,0.0035452965576985274,False,12,12,0.9910183943284154,0.0
CIC-IDS-2017,A,43,combined,zne,0.0020434335162217293,False,12,12,0.9910183943284154,0.0
CICIoT23,A,42,ideal,none,0.0,False,12,12,0.8905982905982905,0.16901408450704225
CICIoT23,A,42,finite_shot,none,2.1351935585827526e-05,False,12,12,0.8905982905982905,0.16901408450704225
CICIoT23,A,42,depolarizing,none,0.0032828700968461685,False,12,12,0.8905982905982905,0.16901408450704225
CICIoT23,A,42,readout,none,5.964124998069059e-05,False,12,12,0.8905982905982905,0.16901408450704225
CICIoT23,A,42,readout,readout,0.0,False,12,12,0.8905982905982905,0.16901408450704225
CICIoT23,A,42,combined,none,0.003907069293053625,False,12,12,0.8905982905982905,0.16901408450704225
CICIoT23,A,42,combined,readout,0.0032828700968461685,False,12,12,0.8905982905982905,0.16901408450704225
CICIoT23,A,42,combined,zne,0.0020208206520268336,False,12,12,0.8905982905982905,0.16901408450704225
CICIoT23,A,43,ideal,none,0.0,False,12,12,0.9288479052823315,0.1267605633802817
CICIoT23,A,43,finite_shot,none,0.00014224119669323,False,12,12,0.9288479052823315,0.1267605633802817
CICIoT23,A,43,depolarizing,none,0.003450762448843384,False,12,12,0.9288479052823315,0.1267605633802817
CICIoT23,A,43,readout,none,0.00014323008593817042,False,12,12,0.9288479052823315,0.1267605633802817
CICIoT23,A,43,readout,readout,0.0,False,12,12,0.9288479052823315,0.1267605633802817
CICIoT23,A,43,combined,none,0.004633572984015379,False,12,12,0.9288479052823315,0.1267605633802817
CICIoT23,A,43,combined,readout,0.003450762448843384,False,12,12,0.9288479052823315,0.1267605633802817
CICIoT23,A,43,combined,zne,0.0009152093996371122,False,12,12,0.9288479052823315,0.1267605633802817
