dataset,protocol,n_qubits,layers,circuit_depth,gates_1q,gates_2q,trainable_params,test_f1_macro,test_fpr,total_shots,total_circuit_evals,episodes_to_convergence,wall_time_sec
UNSW-NB15,A,2,1,4,6,1,8,0.9058256987828788,0.0861244019138756,76800,1020,60,8.875107765197754
UNSW-NB15,A,2,2,8,12,2,16,0.906399935392302,0.08133971291866028,76800,1980,60,7.625177621841431
UNSW-NB15,A,2,3,12,18,3,24,0.9046878267202156,0.0819377990430622,76800,2940,60,10.161305904388428
UNSW-NB15,A,2,4,16,24,4,32,0.8979118580447485,0.08732057416267942,76800,3900,60,8.53782844543457
UNSW-NB15,A,4,1,6,12,3,16,0.8896567424848199,0.10167464114832536,153600,1980,60,5.802351474761963
UNSW-NB15,A,4,2,11,24,6,32,0.911433466250742,0.07535885167464115,153600,3900,60,12.272799968719482
UNSW-NB15,A,4,3,16,36,9,48,0.8931792951726507,0.09150717703349283,153600,5820,60,10.476917028427124
UNSW-NB15,A,4,4,21,48,12,64,0.9094764224361561,0.08014354066985646,153600,7740,60,12.55724573135376
UNSW-NB15,A,6,1,8,18,5,24,0.9154628196463506,0.07057416267942583,230400,2940,60,8.100731372833252
UNSW-NB15,A,6,2,13,36,10,48,0.9107856941706561,0.07715311004784689,230400,5820,60,9.316415548324585
UNSW-NB15,A,6,3,18,54,15,72,0.9088428716701201,0.08253588516746412,230400,8700,17,17.373748302459717
UNSW-NB15,A,6,4,23,72,20,96,0.9055870685190852,0.07655502392344497,230400,11580,60,18.751371383666992
UNSW-NB15,A,8,1,10,24,7,32,0.9063703221638348,0.08014354066985646,307200,3900,47,9.087637901306152
UNSW-NB15,A,8,2,15,48,14,64,0.9056181554134077,0.07775119617224881,307200,7740,60,13.11992597579956
UNSW-NB15,A,8,3,20,72,21,96,0.9090744283829298,0.07775119617224881,307200,11580,60,25.66747736930847
UNSW-NB15,A,8,4,25,96,28,128,0.9078229917820653,0.08313397129186603,307200,15420,60,32.91674089431763
CICIoT23,A,2,1,4,6,1,8,0.9376512534407271,0.08450704225352113,76800,1020,60,5.681236743927002
CICIoT23,A,2,2,8,12,2,16,0.9681969433728908,0.04225352112676056,76800,1980,60,5.429366111755371
CICIoT23,A,2,3,12,18,3,24,0.9466834909872884,0.028169014084507043,76800,2940,60,6.059500455856323
CICIoT23,A,2,4,16,24,4,32,0.9483825973647595,0.056338028169014086,76800,3900,60,7.339377403259277
CICIoT23,A,4,1,6,12,3,16,0.9012794187332175,0.11267605633802817,153600,1980,60,5.395092487335205
CICIoT23,A,4,2,11,24,6,32,0.9297986156287001,0.11267605633802817,153600,3900,60,6.648621320724487
CICIoT23,A,4,3,16,36,9,48,0.9558423413069987,0.028169014084507043,153600,5820,60,8.92826533317566
CICIoT23,A,4,4,21,48,12,64,0.947698197679892,0.07042253521126761,153600,7740,60,11.508804082870483
CICIoT23,A,6,1,8,18,5,24,0.8879074817793046,0.16901408450704225,230400,2940,60,6.440316915512085
CICIoT23,A,6,2,13,36,10,48,0.9368187540658302,0.09859154929577464,230400,5820,60,9.769038438796997
CICIoT23,A,6,3,18,54,15,72,0.9055007559939521,0.1267605633802817,230400,8700,60,13.592341423034668
CICIoT23,A,6,4,23,72,20,96,0.9558423413069987,0.028169014084507043,230400,11580,60,17.75728988647461
CICIoT23,A,8,1,10,24,7,32,0.9462719285153979,0.09859154929577464,307200,3900,34,6.794335126876831
CICIoT23,A,8,2,15,48,14,64,0.9686189186079353,0.028169014084507043,307200,7740,48,11.112704753875732
CICIoT23,A,8,3,20,72,21,96,0.9237959764275554,0.11267605633802817,307200,11580,48,19.642489910125732
CICIoT23,A,8,4,25,96,28,128,0.9508590309400902,0.07042253521126761,307200,15420,22,32.911810874938965
