dataset,protocol,seed,shots,test_f1_macro,test_fpr,kl_div_from_ideal_policy,argmax_agrees_with_ideal,episodes_to_convergence,wall_time_sec
UNSW-NB15,A,42,64,0.8956677819071728,0.09389952153110048,0.0023034527112539933,True,60,15.491644620895386
UNSW-NB15,A,42,128,0.8963430713446667,0.09330143540669857,0.0005801503073804883,True,60,10.234007120132446
UNSW-NB15,A,42,256,0.9072311465859206,0.08732057416267942,0.00017203713990648472,True,60,10.15213918685913
UNSW-NB15,A,42,512,0.9121235281817592,0.07535885167464115,0.00016129738361373087,True,60,8.981003046035767
UNSW-NB15,A,42,1024,0.8939876359422878,0.09569377990430622,0.0002889805287714149,True,60,10.581385374069214
UNSW-NB15,A,42,2048,0.9075479974356379,0.0861244019138756,0.00015692082136004482,True,60,9.987815618515015
UNSW-NB15,A,42,4096,0.9075479974356379,0.0861244019138756,8.026018632268544e-05,True,60,9.315120935440063
UNSW-NB15,A,42,8192,0.9100813054301427,0.07655502392344497,2.3788705712893434e-06,True,60,10.95638370513916
UNSW-NB15,A,43,64,0.8972521252586723,0.08851674641148326,0.004932834425061305,True,60,8.608886480331421
UNSW-NB15,A,43,128,0.905738901712928,0.08253588516746412,0.0018927566292907716,True,60,7.878988265991211
UNSW-NB15,A,43,256,0.8808938913454524,0.09868421052631579,0.0016906417380683708,False,60,7.508999824523926
UNSW-NB15,A,43,512,0.9048627504606173,0.08911483253588516,1.9879315222025203e-05,True,60,8.703896284103394
UNSW-NB15,A,43,1024,0.9048627504606173,0.08911483253588516,3.708464011426437e-05,True,60,8.481156349182129
UNSW-NB15,A,43,2048,0.9048627504606173,0.08911483253588516,4.075642444623395e-05,True,60,8.35433578491211
UNSW-NB15,A,43,4096,0.9048627504606173,0.08911483253588516,3.1379371694195834e-05,True,60,8.295547723770142
UNSW-NB15,A,43,8192,0.9048627504606173,0.08911483253588516,1.4468172435843613e-05,True,60,8.490861415863037
CICIoT23,A,42,64,0.9469949056214848,0.08450704225352113,0.002493708875984681,True,27,5.271605491638184
CICIoT23,A,42,128,0.9508590309400902,0.07042253521126761,0.001405469255163786,True,27,5.62241530418396
CICIoT23,A,42,256,0.9368187540658302,0.09859154929577464,0.0006259810647887771,True,60,5.610779762268066
CICIoT23,A,42,512,0.947698197679892,0.07042253521126761,0.00043190172373643927,True,60,5.5024025440216064
CICIoT23,A,42,1024,0.947698197679892,0.07042253521126761,0.00031426480676809577,True,27,5.340197324752808
CICIoT23,A,42,2048,0.947698197679892,0.07042253521126761,0.00016937310383890016,True,27,5.174170970916748
CICIoT23,A,42,4096,0.947698197679892,0.07042253521126761,8.426789398057751e-05,True,27,5.522965669631958
CICIoT23,A,42,8192,0.947698197679892,0.07042253521126761,1.7097903837793538e-06,True,27,5.423959970474243
CICIoT23,A,43,64,0.9030130609077978,0.15492957746478872,0.005201450759480217,True,50,6.113837003707886
CICIoT23,A,43,128,0.9104532141923298,0.16901408450704225,0.0006538968538067996,True,25,6.731172323226929
CICIoT23,A,43,256,0.9104532141923298,0.16901408450704225,0.0005019358705032244,True,25,7.252774715423584
CICIoT23,A,43,512,0.9104532141923298,0.16901408450704225,1.4925829926484033e-05,True,25,6.856006145477295
CICIoT23,A,43,1024,0.9104532141923298,0.16901408450704225,3.497756440614133e-05,True,25,7.140648126602173
CICIoT23,A,43,2048,0.9104532141923298,0.16901408450704225,1.4082950132325429e-05,True,25,6.840006113052368
CICIoT23,A,43,4096,0.9104532141923298,0.16901408450704225,1.4140264218606097e-05,True,25,8.033776998519897
CICIoT23,A,43,8192,0.9104532141923298,0.16901408450704225,7.3963389798548145e-06,True,25,7.180426120758057
